"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","16,208","65.25%"
"Compact Probation","1,055","4.25%"
"Nonadjudicated","794","3.20%"
"Post Release","2,082","8.38%"
"PROBATION TOTAL","20,139","81.08%"
"Parole","1,642","6.61%"
"Compact Parole","390","1.57%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,032","8.18%"
"Intensive Supervision Program - Court","575","2.31%"
"Intensive Supervision Program - Prison","731","2.94%"
"Earned Release Supervision","1,362","5.48%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,668","10.74%"
"TOTAL","24,839","100.00%"
