"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4534","4445","33.19%"
"Central Mississippi Correctional Facility","3381","3415","25.50%"
"South Mississippi Correctional Institution","2484","2303","17.20%"
"County Jails - Approved*","1727","1308","9.77%"
"County Jails - Unapproved**","0","153","1.14%"
"Community Work Centers","1816","1769","13.21%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13942","13393","100.00%"
"Bolivar County Correctional Facility","294","293","9.55%"
"Carroll County Correctional Facility","280","279","9.09%"
"George County Correctional Facility","280","278","9.06%"
"Holmes County Correctional Facility","280","280","9.12%"
"Issaquena County Correctional Facility","274","273","8.90%"
"Jefferson County Correctional Facility","274","274","8.93%"
"Kemper County Correctional Facility","280","275","8.96%"
"Leake County Correctional Facility","280","280","9.12%"
"Marion County Correctional Facility","280","281","9.16%"
"Stone County Correctional Facility","280","277","9.03%"
"Winston County Correctional Facility","280","279","9.09%"
"TOTAL REGIONAL FACILITIES","3082","3069","100.00%"
"Delta Correctional Facility","972","971","19.82%"
"East MS Correctional Facility","1000","890","18.17%"
"Marshall County Correctional Facility","1000","993","20.27%"
"Tallahatchie County Correctional Facility","128","128","2.61%"
"Walnut Grove Correctional Facility","1000","951","19.42%"
"Wilkinson County Correctional Facility","1000","965","19.70%"
"TOTAL PRIVATE PRISONS","5100","4898","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","47","0.19%"
"Court Order","0","341","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","22146","21765","86.05%"
"Intensive Supervision Program","0","1451","5.74%"
"Earned Release Supervision Program","0","1660","6.56%"
"Medical Release","00","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3119","12.33%"
"Other Custody","0","297","1.17%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","106","0.42%"
"TOTAL","22146","25294","100.00%"
