"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3250","15.42%"
"Central Mississippi Correctional Facility","3750","3684","17.48%"
"South Mississippi Correctional Institution","3082","3038","14.41%"
"Youthful Offender Facility","58","36","0.17%"
"County Jails - Approved","1781","705","3.34%"
"County Jails - Unapproved","0","449","2.13%"
"Community Work Centers","1154","642","3.05%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11804","56.00%"
"Alcorn County Correctional Facility","300","235","1.11%"
"Bolivar County Correctional Facility","369","292","1.39%"
"Carroll County Correctional Facility","280","262","1.24%"
"Chickasaw County Correctional Facility","310","241","1.14%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","197","0.93%"
"Issaquena County Correctional Facility","274","265","1.26%"
"Jefferson County Correctional Facility","280","271","1.29%"
"Kemper County Correctional Facility","355","259","1.23%"
"Leake County Correctional Facility","280","271","1.29%"
"Marion County Correctional Facility","280","265","1.26%"
"Stone County Correctional Facility","326","200","0.95%"
"Washington County Correctional Facility","300","194","0.92%"
"Winston County Correctional Facility","280","264","1.25%"
"Yazoo County Correctional Facility","300","238","1.13%"
"TOTAL REGIONAL FACILITIES","4494","3652","17.33%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1303","6.18%"
"Marshall County Correctional Facility","1000","987","4.68%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","928","4.40%"
"TOTAL PRIVATE PRISONS","5972","3218","15.27%"
