"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3366","16.23%"
"Central Mississippi Correctional Facility","3750","3209","15.47%"
"South Mississippi Correctional Institution","3082","2660","12.83%"
"Youthful Offender Facility","58","26","0.13%"
"County Jails - Approved","1781","639","3.08%"
"County Jails - Unapproved","0","311","1.50%"
"Community Work Centers","1154","647","3.12%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","10858","52.36%"
"Alcorn County Correctional Facility","300","293","1.41%"
"Bolivar County Correctional Facility","369","293","1.41%"
"Carroll County Correctional Facility","280","274","1.32%"
"Chickasaw County Correctional Facility","310","306","1.48%"
"George County Correctional Facility","280","336","1.62%"
"Holmes County Correctional Facility","280","278","1.34%"
"Issaquena County Correctional Facility","274","273","1.32%"
"Jefferson County Correctional Facility","280","278","1.34%"
"Kemper County Correctional Facility","355","353","1.70%"
"Leake County Correctional Facility","280","277","1.34%"
"Marion County Correctional Facility","280","277","1.34%"
"Stone County Correctional Facility","326","322","1.55%"
"Washington County Correctional Facility","300","225","1.08%"
"Winston County Correctional Facility","280","280","1.35%"
"Yazoo County Correctional Facility","300","300","1.45%"
"TOTAL REGIONAL FACILITIES","4494","4365","21.05%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1271","6.13%"
"Marshall County Correctional Facility","1000","993","4.79%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","924","4.46%"
"TOTAL PRIVATE PRISONS","5972","3188","15.37%"
