"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,769","67.79%","692","41.89%","14,461","65.85%"
"White","6,317","31.10%","949","57.45%","7,266","33.08%"
"Hispanic","159",".78%","8",".48%","167",".76%"
"Native American","18",".09%","3",".18%","21",".10%"
"Asian","34",".17%","0",".00%","34",".15%"
"Data Unavailable","13",".06%","0",".00%","13",".06%"
"TOTAL","20,310","100.00%","1,652","100.00%","21,962","100.00%"
