"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,143","67.27%","759","42.26%","13,902","65.17%"
"White","6,114","31.29%","1,011","56.29%","7,125","33.40%"
"Hispanic","202","1.03%","18","1.00%","220","1.03%"
"Native American","24",".12%","4",".22%","28",".13%"
"Asian","45",".23%","3",".17%","48",".23%"
"Data Unavailable","9",".05%","1",".06%","10",".05%"
"TOTAL","19,537","100.00%","1,796","100.00%","21,333","100.00%"
