"","","","As of August 1, 2018","","",""
"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,621","61.03%","381","31.33%","5,002","56.92%"
"White","2,890","38.17%","823","67.68%","3,713","42.25%"
"Hispanic","33",".44%","7",".58%","40",".46%"
"Native American","11",".15%","3",".25%","14",".16%"
"Asian","13",".17%","1",".08%","14",".16%"
"Data Unavailable","4",".05%","1",".08%","5",".06%"
"TOTAL","7,572","100.00%","1,216","100.00%","8,788","100.00%"
