"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,637","59.29%","350","27.54%","4,987","54.85%"
"White","3,109","817.00%","911","71.68%","4,020","44.21%"
"Hispanic","40",".51%","4",".31%","44",".48%"
"Native American","10",".13%","1",".08%","11",".12%"
"Asian","23",".29%","4",".31%","27",".30%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,821","100.00%","1,271","100.00%","9,092","100.00%"
