"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,568","60.02%","376","30.74%","4,944","55.97%"
"White","2,973","817.00%","836","68.36%","3,809","43.12%"
"Hispanic","35",".46%","6",".49%","41",".46%"
"Native American","14",".18%","3",".25%","17",".19%"
"Asian","17",".22%","2",".16%","19",".22%"
"Data Unavailable","4",".05%","0",".00%","4",".05%"
"TOTAL","7,611","100.00%","1,223","100.00%","8,834","100.00%"
