"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,713","61.78%","433","34.20%","5,146","57.85%"
"White","2,851","37.37%","818","64.61%","3,669","41.25%"
"Hispanic","37",".48%","12",".95%","49",".55%"
"Native American","11",".14%","1",".08%","12",".13%"
"Asian","15",".20%","1",".08%","16",".18%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,629","100.00%","1,266","100.00%","8,895","100.00%"
"","","BY OFFENSE","","","",""
"","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","OFFENDERS","OFFENDERS",""
"","","","Drug","4,226","47.51%",""
"","","","Property","3,699","41.59%",""
"","","","Violent","732","8.23%",""
"","","","Sex","123","1.38%",""
"","","","Aggravated Assault","115","1.29%",""
"","","","TOTAL","8,895","100.00%",""
