"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,777","65.59%","663","39.16%","13,440","63.48%"
"White","6,422","32.97%","1,001","59.13%","7,423","35.06%"
"Hispanic","192",".99%","22","1.30%","214","1.01%"
"Native American","30",".15%","4",".24%","34",".16%"
"Asian","51",".26%","2",".12%","53",".25%"
"Data Unavailable","8",".04%","1",".06%","9",".04%"
"TOTAL","19,480","100.00%","1,693","100.00%","21,173","100.00%"
