"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11,008","56.69%","2,199","37.93%","13,207","52.38%"
"White","8,089","41.66%","3,511","60.57%","11,600","46.01%"
"Hispanic","151","0.78%","34",".59%","185",".73%"
"Native American","19",".10%","8",".14%","27",".11%"
"Asian","65",".33%","15",".26%","80",".32%"
"Data Unavailable","85",".44%","30",".52%","115",".46%"
"TOTAL","19,417","100.00%","5,797","100.00%","25,214","100.00%"
