"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,992","56.86%","2,223","38.19%","13,215","52.54%"
"White","8,025","41.51%","3,508","60.26%","11,533","45.85%"
"Hispanic","152","0.79%","37",".64%","189",".75%"
"Native American","18",".09%","8",".14%","26",".10%"
"Asian","64",".33%","16",".27%","80",".32%"
"Data Unavailable","80",".41%","29",".50%","109",".43%"
"TOTAL","19,331","100.00%","5,821","100.00%","25,152","100.00%"
