"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,958","56.55%","2,167","37.80%","13,125","52.27%"
"White","8,100","41.80%","3,480","60.70%","11,580","46.11%"
"Hispanic","153","0.79%","34",".59%","187",".74%"
"Native American","20","0.10%","8",".14%","28",".11%"
"Asian","64",".33%","15",".26%","79",".31%"
"Data Unavailable","84",".43%","29",".51%","113",".45%"
"TOTAL","19,379","100.00%","5,733","100.00%","25,112","100.00%"
