"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14,221","60.25%","3,342","47.87%","17,563","57.42%"
"White","9,026","38.24%","3,545","50.77%","12,571","41.10%"
"Hispanic","162",".69%","34",".49%","196",".64%"
"Native American","27",".11%","6",".09%","33",".11%"
"Asian","73",".31%","20",".29%","93",".30%"
"Data Unavailable","94",".40%","35",".50%","129",".42%"
"TOTAL","23,603","100.00%","6,982","100.00%","30,585","100.00%"
