"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11,009","56.79%","2,301","38.55%","13,310","52.49%"
"White","8,055","41.55%","3,574","59.88%","11,629","45.86%"
"Hispanic","153","0.79%","40",".67%","193",".76%"
"Native American","20",".10%","9",".15%","29",".11%"
"Asian","64",".33%","16",".27%","80",".32%"
"Data Unavailable","86",".44%","29",".49%","115",".45%"
"TOTAL","19,387","100.00%","5,969","100.00%","25,356","100.00%"
