"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10,899","57.14%","2,287","39.10%","13,186","52.90%"
"White","7,879","41.31%","3,478","59.46%","11,357","45.57%"
"Hispanic","153","0.80%","39",".67%","192",".77%"
"Native American","19","0.10%","11",".19%","30",".12%"
"Asian","60",".31%","14",".24%","74",".30%"
"Data Unavailable","65",".34%","20",".34%","85",".34%"
"TOTAL","19,075","100.00%","5,849","100.00%","24,924","100.00%"
