race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,689","59.11%","363","28.07%","5,052","54.76%"
"White","3,170","817.00%","920","71.15%","4,090","44.34%"
"Hispanic","37",".47%","4",".31%","41",".44%"
"Native American","13",".16%","2",".15%","15",".16%"
"Asian","22",".28%","3",".23%","25",".27%"
"Data Unavailable","1",".01%","1",".08%","2",".02%"
"TOTAL","7,932","100.00%","1,293","100.00%","9,225","100.00%"
