"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,123","59.73%","2,935","48.12%","15,058","57.05%"
"White","7,848","38.67%","3,071","50.35%","10,919","41.37%"
"Hispanic","134",".66%","24",".39%","158",".60%"
"Native American","17",".08%","8",".13%","25",".09%"
"Asian","61",".30%","14",".23%","75",".28%"
"Data Unavailable","114",".56%","47",".77%","161",".61%"
"TOTAL","20,297","100.00%","6,099","100.00%","26,396","100.00%"
