date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,142"
1-Nov-19,"3,266","3,636",25,0,"2,644","1,283",892,0,0,79,203,64,0,42,0,0,0,0,72,50,77,66,135,16,31,0,0,0,57,0,"4,317",300,294,278,309,340,278,317,275,348,275,277,280,167,279,300,"3,184",0,"1,251",999,0,934,6,0,3,3,25,12,9,3,0,1,"19,278"
2-Nov-19,"3,266","3,638",25,0,"2,643","1,283",884,0,0,78,202,64,0,41,0,0,0,0,72,46,77,66,134,16,31,0,0,0,57,0,"4,318",300,294,278,309,340,278,317,275,348,275,277,280,168,279,300,"3,184",0,"1,251",999,0,934,6,0,3,3,25,12,9,3,0,1,"19,272"
3-Nov-19,"3,268","3,635",25,0,"2,643","1,283",874,0,0,78,197,64,0,41,0,0,0,0,72,46,77,63,134,16,30,0,0,0,56,0,"4,312",300,294,278,309,338,278,315,274,348,275,277,280,168,278,300,"3,183",0,"1,250",999,0,934,6,0,3,3,25,12,9,3,0,1,"19,254"
4-Nov-19,"3,261","3,635",25,0,"2,655","1,286",893,0,0,77,204,62,0,41,0,0,0,0,73,47,74,73,139,16,30,0,0,0,57,0,"4,317",300,292,278,309,338,278,325,273,347,275,277,280,168,278,299,"3,177",0,"1,246",998,0,933,7,0,4,3,23,12,7,3,0,1,"19,279"
5-Nov-19,"3,264","3,634",25,0,"2,657","1,288",893,0,0,77,197,60,0,41,0,0,0,0,73,47,76,72,144,21,28,0,0,0,57,0,"4,310",299,292,278,309,337,278,322,273,346,275,277,280,168,277,299,"3,176",0,"1,245",998,0,933,7,0,4,3,22,12,7,3,0,0,"19,276"
6-Nov-19,"3,270","3,633",25,0,"2,652","1,255",883,0,0,76,193,60,0,39,0,0,0,0,72,46,76,72,144,21,28,0,0,0,56,0,"4,318",299,292,277,310,337,278,318,279,350,280,276,279,167,278,298,"3,171",0,"1,239",998,0,934,7,0,4,3,25,5,17,3,0,0,"19,239"
7-Nov-19,"3,269","3,666",25,0,"2,648","1,238",875,0,0,76,189,60,0,38,0,0,0,0,72,46,76,71,144,21,26,0,0,0,56,0,"4,321",299,291,277,309,336,278,317,279,352,280,277,279,167,280,300,"3,169",0,"1,239",996,0,934,7,0,4,3,25,3,19,3,0,0,"19,243"
8-Nov-19,"3,267","3,694",25,0,"2,651","1,244",860,0,0,74,187,60,0,38,0,0,0,0,70,45,74,69,141,21,26,0,0,0,55,0,"4,314",298,291,277,309,334,277,317,280,353,276,277,280,167,279,299,"3,165",0,"1,236",996,0,933,7,0,4,3,25,3,19,3,0,0,"19,252"
9-Nov-19,"3,264","3,693",25,0,"2,647","1,244",858,0,0,74,186,60,0,38,0,0,0,0,70,45,73,69,141,21,26,0,0,0,55,0,"4,311",297,291,277,308,335,277,317,280,353,276,277,280,167,279,297,"3,161",0,"1,233",996,0,932,7,0,4,3,25,3,19,3,0,0,"19,235"
10-Nov-19,"3,263","3,694",25,0,"2,644","1,244",857,0,0,74,186,60,0,38,0,0,0,0,70,45,73,69,141,21,25,0,0,0,55,0,"4,311",297,291,277,308,335,277,317,280,353,276,277,280,167,279,297,"3,161",0,"1,233",996,0,932,7,0,4,3,0,3,19,3,0,0,"19,206"
11-Nov-19,"3,264","3,694",25,0,"2,644","1,244",854,0,0,75,173,60,0,38,0,0,0,0,72,46,75,70,144,21,25,0,0,0,55,0,"4,306",297,291,277,308,335,275,316,280,353,275,277,279,167,279,297,"3,160",0,"1,232",996,0,932,7,0,4,3,25,3,19,3,0,0,"19,223"
12-Nov-19,"3,255","3,693",25,0,"2,649","1,230",846,0,0,76,169,60,0,38,0,0,0,0,72,46,74,69,143,20,24,0,0,0,55,0,"4,298",297,291,275,308,334,278,315,278,348,273,278,279,167,278,299,"3,162",0,"1,232",995,0,935,7,0,4,3,27,3,19,4,0,1,"19,192"
13-Nov-19,"3,248","3,720",24,0,"2,652","1,205",847,0,0,76,174,60,0,38,0,0,0,0,73,47,69,69,142,20,24,0,0,0,55,0,"4,283",297,291,275,310,332,276,314,278,341,272,279,279,163,278,298,"3,166",0,"1,237",994,0,935,7,0,4,3,27,3,19,4,0,1,"19,179"
14-Nov-19,"3,235","3,723",24,0,"2,638","1,216",845,0,0,76,171,60,0,38,0,0,0,0,72,49,72,69,142,20,23,0,0,0,53,0,"4,291",299,290,274,310,331,276,314,279,341,276,280,281,163,279,298,"3,179",0,"1,237","1,000",0,942,7,0,4,3,28,3,20,4,0,1,"19,186"
15-Nov-19,"3,237","3,692",23,0,"2,643","1,203",869,0,0,76,198,60,0,38,0,0,0,0,72,49,68,70,142,20,24,0,0,0,52,0,"4,281",298,290,273,310,329,275,313,279,342,276,279,280,162,277,298,"3,181",0,"1,241","1,000",0,940,7,0,4,3,28,3,20,4,0,1,"19,164"
16-Nov-19,"3,237","3,694",23,0,"2,643","1,203",868,0,0,76,198,60,0,38,0,0,0,0,72,49,68,70,141,20,24,0,0,0,52,0,"4,281",298,290,273,310,329,275,313,279,342,276,279,280,162,277,298,"3,181",0,"1,241","1,000",0,940,7,0,4,3,28,3,20,4,0,1,"19,165"
17-Nov-19,"3,237","3,691",23,0,"2,642","1,203",865,0,0,76,196,60,0,38,0,0,0,0,72,49,68,69,141,20,24,0,0,0,52,0,"4,280",298,290,272,310,330,275,313,279,341,276,279,280,162,277,298,"3,181",0,"1,241","1,000",0,940,7,0,4,3,28,3,20,4,0,1,"19,157"
