"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,137","60.81%","2,549","43.78%","14,686","56.96%"
"White","7,579","37.97%","3,190","54.79%","10,769","41.77%"
"Hispanic","142","0.71%","36",".62%","178",".69%"
"Native American","20",".10%","13",".22%","33",".13%"
"Asian","52",".26%","12",".21%","64",".25%"
"Data Unavailable","30",".15%","22",".38%","52",".20%"
"TOTAL","19,960","100.00%","5,822","100.00%","25,782","100.00%"
